0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:34:14 +0300] "POST /CouponsWeb/service/CompanyService/coupon HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:34:23 +0300] "GET /CouponsWeb/service/SessionService/checkSession HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:34:23 +0300] "GET /CouponsWeb/service/SessionService/checkSession HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:34:23 +0300] "GET /CouponsWeb/service/CompanyService/company HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:34:24 +0300] "GET /CouponsWeb/service/CompanyService/coupon HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:34:47 +0300] "OPTIONS /CouponsWeb/service/CompanyService/coupon HTTP/1.1" 200 1733
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:34:47 +0300] "POST /CouponsWeb/service/CompanyService/coupon HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:34:55 +0300] "GET /CouponsWeb/service/CompanyService/company HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:34:55 +0300] "GET /CouponsWeb/service/CompanyService/income HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:35:08 +0300] "GET /CouponsWeb/service/CompanyService/company HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:35:08 +0300] "GET /CouponsWeb/service/CompanyService/income HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:35:20 +0300] "OPTIONS /CouponsWeb/service/CompanyService/coupon HTTP/1.1" 200 1733
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:35:20 +0300] "OPTIONS /CouponsWeb/service/CompanyService/coupon HTTP/1.1" 200 1733
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:35:20 +0300] "PUT /CouponsWeb/service/CompanyService/coupon HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:35:20 +0300] "PUT /CouponsWeb/service/CompanyService/coupon HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:35:22 +0300] "GET /CouponsWeb/service/CompanyService/company HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:35:22 +0300] "GET /CouponsWeb/service/CompanyService/income HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:35:32 +0300] "GET /CouponsWeb/service/SessionService/logout HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:35:32 +0300] "GET /CouponsWeb/service/ServerService/info HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:35:38 +0300] "OPTIONS /CouponsWeb/service/AdminService/login HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:35:38 +0300] "POST /CouponsWeb/service/AdminService/login HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:35:39 +0300] "GET /CouponsWeb/service/SessionService/checkSession HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:35:40 +0300] "GET /CouponsWeb/service/AdminService/customer HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:35:46 +0300] "OPTIONS /CouponsWeb/service/AdminService/customer HTTP/1.1" 200 1390
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:35:46 +0300] "POST /CouponsWeb/service/AdminService/customer HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:35:50 +0300] "GET /CouponsWeb/service/AdminService/company HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:35:52 +0300] "GET /CouponsWeb/service/AdminService/incomecompany?id=123 HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:35:56 +0300] "GET /CouponsWeb/service/AdminService/income HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:35:59 +0300] "GET /CouponsWeb/service/AdminService/company HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:36:00 +0300] "GET /CouponsWeb/service/SessionService/logout HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [15/Jun/2018:08:36:00 +0300] "GET /CouponsWeb/service/ServerService/info HTTP/1.1" 200 70
